,Contributors,Contributor_type,Date,Set,Genre,Description,Type_of_resource,Source_collection,Language,Medium,Original_format,Part_of,Repository,Subjects,Subject_headings,Title
924,Unknown,,Documentation compiled after 1968,Historic-Sites,,,Unspecified,Historic American Engineering Record (Library of Congress),English,Measured Drawing(s): 3  | Data Page(s): 6,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",bridges | recreation | channels | reservoirs | lock gates | engineering,recreation | bridges | District Of Columbia -- District Of Columbia -- Washington | channels | reservoirs | lock gates | engineering,"Tidal Reservoir, Between Potomac River & Washington Channel, Washington, District of Columbia, DC"
965,"Harris & Ewing, photographer.",Photographer,1921,Hats,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 5 x 7 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | united states | hats | district of columbia | glass negatives,United States--District of Columbia--Washington (D.C.) | Hats,Wash. radio show. The latest in spring styles for men. A radio set in a straw hat
995,Unknown,,1920,Libraries,Glass negatives,,Still image,National Photo Company Collection (Library of Congress),English,1 negative : glass ; 8 x 6 in.,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Reading room for blind, Library of Congress, [Washington, D.C.]"
1000,"Highsmith, Carol M",Photographer,2018,Libraries,Digital photographs--Color--2010-2020,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, tiff file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | district of columbia | america | gsa | libraries | federal buildings | united states | james a. wetmore | commerce building | color | herbert hoover federal building | digital photographs,Libraries | United States--District of Columbia--Washington (D.C.) | GSA | Herbert Hoover Federal Building | Commerce Building | America | Federal buildings | James A. Wetmore,"Library. Herbert Hoover Federal Building located in downtown Washington, D.C."
1003,"Bengough, William",Artist,1939,Libraries,Photographic prints--Hand-colored--1930-1940,Print shows crowded conditions at the Library of Congress shortly before it moved across the street from the U.S. Capitol into its new building. Men and women fill every chair at the tables and the books are in tall stacks on the floor.,Still image,,English,1 photographic print : hand-colored.,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | catalog | miscellaneous items in high demand,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | united states capitol (washington, d.c.) | hand-colored | reading rooms | library of congress (washington, d.c.) | tharin, robert s. | photographic prints | tharin, robert s | spofford, ainsworth rand","Library of Congress (Washington, D.C.)--1890-1900 | Tharin, Robert S | United States Capitol (Washington, D.C.)--1890-1900 | Reading rooms--Washington (D.C.)--1890-1900 | Spofford, Ainsworth Rand,--1825-1908","[The Library of Congress when it was located in the U.S. Capitol, with Ainsworth R. Spofford, Librarian, standing on extreme right, looking at paper. The man on left holding lamp is David Hutcheson, assistant Librarian, and man identified as Robert S. Tharin, 6th Auditor of the Treasury in 1891, is seated at table] / W. Bengough, 1897."
1004,Detroit Photographic Co.,Photographer,1902,Libraries,Photochrom prints--Color,,Still image,,English,"1 photomechanical print : photochrom, color.","Photo, print, drawing",prints and photographs division | lot 13923 | prints & photographs online catalog (library of congress) | photochrom prints | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | library of congress thomas jefferson building (washington, d.c.) | libraries | united states | color | photochrom prints","United States--Washington (D.C.) | Libraries | Library of Congress Thomas Jefferson Building (Washington, D.C.)","The Library of Congress, Washington"
1011,Library of Congress Map Division,,1926,Libraries,,,Cartographic,,English,"1 map : ms., mounted on cloth ; 37 x 41 cm., on sheet 40 x 56 cm.",Map,general maps | cities and towns | geography and map division | american memory | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",washington (d.c.) | washington | statistics | libraries | maps | united states | manuscript maps | district of columbia,Libraries--Washington (D.C.)--Maps | United States--District of Columbia--Washington | Libraries--Washington (D.C.)--Statistics | Manuscript maps,"Libraries, Washington D.C."
1022,Unknown,,Documentation compiled after 1933,Libraries,,,Unspecified,Historic American Buildings Survey (Library of Congress),English,Data Page(s): 43  | Color Transparencies: 1  | Photo Caption Page(s): 1  | Photo(s): 42,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",stone buildings | educational facilities | education | colleges,educational facilities | colleges   | District Of Columbia -- District Of Columbia -- Washington | education | stone buildings,"Georgetown University, Healy Building, Thirty-seventh & O Streets, Northwest, Washington, District of Columbia, DC"
1088,"Tory, Geoffroy",,1524,Art-Of-The-Book,Bookbinding (Binding)--DLC,"The Book of Hours was a prayer book for the laity that developed in late medieval Europe and that was used for private devotion. These works were often personalized for individual patrons and illuminated with miniature paintings depicting the life of Christ, the Virgin Mary, and individual saints. The text included a calendar of liturgical feast days and a series of prayers to be recited eight times a day, according to established practice. By the early Renaissance period the popularity of the Book of Hours demonstrated the growing interest of the laity in speaking directly with God and the saints, rather than exclusively through the church and the ordained clergy. This manuscript Book of Hours from early 16th century France was written on vellum skin and includes 16 large and 26 small miniature paintings highlighted in gold and painted with rich primary colors. It is embellished with headings and paragraph marks in blue and red ink, and is written in delicate Roman letters of the highest quality. Both the text and the illuminations are ascribed to the Parisian workshop of Geoffroy Tory. World Digital Library. | This superb French Book of Hours, written in a fine roman script on 113 leaves of pure white vellum, has been attributed to the French miniaturist, calligrapher, and printer, Geoffroy Tory. The manuscript contains sixteen full page miniatures, twenty-six small miniatures of the evangelists and saints, and sixteen illuminated borders. The date 1524 appears in a shield located in the gold border surrounding one of the large miniatures, and it has been assumed that the volume was executed in that year. The large miniatures are brilliantly colored and filled with a wealth of detail and the landscapes and interiors are delicately executed. Former owners of this distinguished manuscript include Girardot de Préfond, Duc de la Vallière, William Beckford, Robert Hoe, and Cortland F. Bishop.",Text,,Latin,"113 leaves (23 lines (calendar 33 lines)), bound : parchment, col. ill. ; 24 cm.",Book,lessing j. rosenwald collection | world digital library | rare book and special collections division | catalog | rare book selections,,"washington (d.c.) | illumination of books and manuscripts, french | prayers and devotions | early works to 1800 | texts | bookbinding (binding) | dlc | books of hours | catholic church | manuscripts, latin (medieval and modern)","Illumination of books and manuscripts, French--Washington (D.C.) | Manuscripts, Latin (Medieval and modern)--Washington (D.C.) | Catholic Church--Prayers and devotions | Books of hours--Texts--Early works to 1800",[Book of hours].
1101,"Qazwīnī, Zakarīyā ibn Muḥammad",Writer,1565,Art-Of-The-Book,,,Manuscript,,Persian,"348 leaves (21 lines), paper : bound ; 25 x 15.5 cm",Manuscript/mixed material,african and middle eastern division | catalog | persian language rare materials,,"iran | washington (d.c.) | early works to 1800 | cosmography | turkey | manuscripts, persian | geography, arab","Geography, Arab--Early works to 1800 | Manuscripts, Persian--Washington (D.C.) | Turkey | Iran | Cosmography--Early works to 1800",ʻAjāʼib al-makhlūqāt.
1108,"Muqīm, Muḥammad",Writer,1650,Art-Of-The-Book,,"Contains a biography of Shāhjahān from his birth through the first 10 years of his reign by Qazvīnī. This work is followed by the second and third parts of Muḥammad Ṣāliḥ Kambūh's ʻAmāl-i Ṣāliḥ's history, starting with the 11th year of Shāhjahān's reign and including the wars of succession and his death. Cf, the similar composite manuscript ms. no. 566 in Bankipore, Bengal. Oriental Public Library. Catalogue of the Arabic and Persian manuscripts, v. 7 (Patna, 1921).",Manuscript,,Persian,"[519] leaves, paper : bound ; 40 cm",Manuscript/mixed material,lessing j. rosenwald collection | rare book and special collections division | african and middle eastern division | persian language rare materials | catalog | rare book selections,,"washington (d.c.) | history | mogul empire | shahjahan | manuscripts, persian | india | emperor of india","India | Shahjahan,--Emperor of India,--approximately 1592-1666 | Mogul Empire--History | Manuscripts, Persian--Washington (D.C.)",Pādishāhnāmah.
1151,"Roberts, Martha McMillan",Photographer,1941,Shoes,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information Photograph Collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 1403 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Pa Pa 'as walked holes in his shoes. Cherry Blossom Festival, Washington, D.C."
1153,Unknown,,1939,Shoes,Transparencies--Color,,Still image,Farm Security Administration - Office of War Information color slides and transparencies collection (Library of Congress),English,1 transparency : color.,"Photo, print, drawing",farm security administration/office of war information color photographs | prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | transparencies | union station (washington, d.c.) | world war | united states | children | african americans | district of columbia | color | parks","United States--District of Columbia--Washington (D.C.) | Parks | African Americans--Children | Union Station (Washington, D.C.) | World War, 1939-1945","Two little girls in a park near Union Station, Washington, D.C."
1163,"Bubley, Esther",Photographer,1943,Shoes,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | american memory | farm security administration/office of war information black-and-white negatives | lot 940 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Moccasins are worn without socks at Woodrow Wilson High School"
1190,"Bubley, Esther",Photographer,1943,Games-For-Fun-And-Relaxation,Safety film negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : safety ; 3 1/4 x 4 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | american memory | farm security administration/office of war information black-and-white negatives | lot 979 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | safety film negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Soldiers waiting between trains playing cards in the game room at the United Nations service center"
1316,Unknown,,Documentation compiled after 1933,Tennis,,,Unspecified,Historic American Buildings Survey (Library of Congress),English,Measured Drawing(s): 41  | Data Page(s): 8  | Photo(s): 599  | Photo Caption Page(s): 35  | Color Transparencies: 3,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",official residences | mansions | u.s. presidents | greek cross-plan buildings,mansions | U.S. Presidents | Greek cross-plan buildings | official residences | District Of Columbia -- District Of Columbia -- Washington,"White House, 1600 Pennsylvania Avenue, Northwest, Washington, District of Columbia, DC"
1318,"Highsmith, Carol M",Photographer,2008,Independence-Day,Digital photographs--Color--2000-2010,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA dcu http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | fireworks | america | fourth of july | united states | washington monument | capitols | july 4th | district of columbia | color | digital photographs,Fourth of July | United States--District of Columbia--Washington (D.C.) | July 4th | Capitols | Washington Monument | America | Fireworks,"July 4th fireworks, Washington, D.C."
1330,"Highsmith, Carol M",Photographer,2010,Independence-Day,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | recorder of deeds building | murals | united states | district of columbia | color | digital photographs,Murals | United States--District of Columbia--Washington (D.C.) | Recorder of Deeds building,"""Crispus Attucks,"" by Herschel Levit, mural at the Recorder of Deeds building, built in 1943. 515 D St., NW, Washington, D.C."
1348,Harris & Ewing,Photographer,1919,Independence-Day,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 5 x 7 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"FOURTH OF JULY. TABLEAU ON ELLIPSE: 'LIBERTY,' 'COLUMBIA,' AND DANCERS"
1372,Harris & Ewing,Photographer,1939,Weddings,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Art plus diplomacy. Washington, D.C., May 13. Miss Virginia Chang, star of the Chinese Cultural Theater, yesterday changed her role of Queen to the role of bride. She was married in the beautiful Gardens of Twin Oaks, the Chinese Embassy, to Kien-Wen Yu, second secretary of the embassy. The simple Chinese ceremony culminated a whirlwind romance and was performed by Chinese ambassador, Dr. Hu Shih. Left to right: Chinese ambassador Dr. Hu Shih, the bride, and Kien-Wen Yu"
1405,Harris & Ewing,Photographer,1937,Weddings,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Florida Senator and bride on way to opening session. Washington, D.C., Jan. 5. Happy as only a bridal couple can be, Senator and Mrs. Claude Pepper of Florida, wave a greeting to friends as they boarded the Capitol subway on the way to the opening of the 75th session of Congress. Senator Pepper is a Democrat"
1410,Unknown,,1971,Weddings,Photographic prints--Color--1970-1980,,Still image,,English,1 photographic print : color.,"Photo, print, drawing",prints and photographs division | lot 11352 | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","washington (d.c.) | color | weddings | nixon, richard m. | family | photographic prints | (richard milhous)","Weddings--Washington (D.C.)--1970-1980 | Nixon, Richard M.--(Richard Milhous),--1913-1994--Family","The wedding ceremony in the Rose Garden of the White House, June 12, 1971"
1419,Unknown,,1913,Horses,Photographic prints--1910-1920,"Photo shows lawyer Inez Milholland Boissevain riding astride in the March 3, 1913, suffrage parade in Washington, D.C., as the first of four mounted heralds. Additional information about the Bain Collection is available at https://memory.loc.gov/pp/ggbainhtml/ggbainabt.html",Still image,,English,1 photographic print.,"Photo, print, drawing",prints and photographs division | bain collection | lot 11052 | american women: a gateway to library of congress resources for the study of women's history and culture in the united states | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA","horseback riding | boissevain, inez milholland | horses | washington (d.c.) | women | suffragists | women's suffrage | political activity | parades & processions | photographic prints","Women--Political activity--Washington (D.C.)--1910-1920 | Suffragists--1910-1920 | Women's suffrage--Washington (D.C.)--1910-1920 | Parades & processions--Washington (D.C.)--1910-1920 | Horseback riding--Washington (D.C.)--1910-1920 | Boissevain, Inez Milholland,--1886-1916","[Inez Milholland Boissevain, wearing white cape, seated on white horse at the National American Woman Suffrage Association parade, March 3, 1913, Washington, D.C.]"
1468,E. Sachse & Co.,,1871,Maps-Of-Cities,Aerial views,,Cartographic,,English,1 view : col. ; 46 x 68 cm.,Map,cities and towns | geography and map division | panoramic maps | american memory | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu","washington (d.c.) | washington | united states capitol (washington, d.c.) | maps | united states | aerial views | district of columbia","United States Capitol (Washington, D.C.)--Maps | United States--District of Columbia--Washington | Washington (D.C.)--Maps",View of Washington City.
1498,E. Sachse & Co.,,1884,Maps-Of-Cities,,,Cartographic,,English,col. map 108 x 165 cm.,Map,cities and towns | geography and map division | panoramic maps | american memory | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",washington (d.c.) | washington | united states | aerial views | district of columbia,Washington (D.C.)--Aerial views | United States--District of Columbia--Washington,"The national capital, Washington, D.C. Sketched from nature by Adolph Sachse, 1883-1884."
1499,"Johnson, E. Kurtz",,1888,Maps-Of-Cities,Aerial views,,Cartographic,,English,1 view : col. ; 60 x 90 cm.,Map,cities and towns | geography and map division | panoramic maps | american memory | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",washington (d.c.) | washington | maps | united states | aerial views | district of columbia,United States--District of Columbia--Washington | Washington (D.C.)--Maps,"Birdseye view of the National Capital, including the site of the proposed World's Exposition of 1892 and Permanent Exposition of the Three Americas"
1516,"Highsmith, Carol M",Photographer,1980,Cherry-Blossoms,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",cherry blossoms | washington (d.c.) | transparencies | america | united states | district of columbia | color,United States--District of Columbia--Washington (D.C.) | Cherry Blossoms | America,"Cherry Blossoms around the Tidal Basin in Washington, D.C."
1517,"Highsmith, Carol M",Photographer,1980,Cherry-Blossoms,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller.,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",cherry blossoms | washington (d.c.) | transparencies | america | jefferson memorial | united states | district of columbia | color,Cherry blossoms | United States--District of Columbia--Washington (D.C.) | Jefferson Memorial | America,"Jefferson Memorial with cherry blossoms, Washington, D.C."
1518,"Highsmith, Carol M",Photographer,1980,Cherry-Blossoms,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",aerial views of jefferson memorial | washington (d.c.) | tidal basin | transparencies | fdr memorial | america | united states | district of columbia | color,Tidal Basin | Aerial views of Jefferson Memorial | FDR Memorial | United States--District of Columbia--Washington (D.C.) | America,"Aerial view of Washington, D.C., showing the FDR Memorial in the foreground at Cherry Blossom Festival time, with the Potomac Tidal Basin and the Jefferson Memorial also in sight"
1519,"Highsmith, Carol M",Photographer,1980,Cherry-Blossoms,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | tidal basin | cherry blossom festival | transparencies | america | united states | district of columbia | color,Cherry Blossom Festival | United States--District of Columbia--Washington (D.C.) | Tidal Basin | America,"Cherry trees along the Tidal Basin with Japanese Lantern placed in the park in 1954. Washington, D.C."
1520,"Highsmith, Carol M",Photographer,1980,Cherry-Blossoms,,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,1 transparency : color ; 4 x 5 in. or smaller.,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | tidal basin | cherry blossom festival | transparencies | america | japanese lantern | united states | district of columbia | color,Tidal Basin | United States--District of Columbia--Washington (D.C.) | Cherry Blossom Festival | Japanese lantern | America,"Japanese lantern on the Potomac River Tidal Basin during spring cherry blossom season, Washington, D.C."
1521,"Highsmith, Carol M",Photographer,2007,Cherry-Blossoms,Digital photographs--Color--2000-2010,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, TIFF file, color.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | spring | cherry trees | united states | washington monument | district of columbia | color | digital photographs,Spring | United States--District of Columbia--Washington (D.C.) | Cherry trees | Washington Monument,"Washington Monument, Washington, D.C."
1522,"Highsmith, Carol M",Photographer,2007,Cherry-Blossoms,Digital photographs--Infrared--2000-2010,,Still image,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,"1 photograph : digital, TIFF file, infrared.","Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",cherry blossoms | washington (d.c.) | infrared | united states | washington monument | district of columbia | digital photographs,United States--District of Columbia--Washington (D.C.) | Cherry blossoms | Washington Monument,"Washington Monument, Washington, D.C"
1523,Harris & Ewing,Photographer,1937,Cherry-Blossoms,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Crowned Queen of Cherry Blossoms. Washington, D.C., April 8. A colorful ceremony which attracted thousands of visitors to the Capital, little Sakiko Saito, daughter of the Japanese Ambassador and Mme. Saito, was crowned Queen of the Cherry Blossoms by Melvin Hazen, Commissioner of the District of Columbia. The festival was held to celebrate the anniversary of the presentation of the Japanese cherry trees to the capital by the citizens of Tokio, Japan during the Taft Administration. With the Queen as shown her two attendants Masako Saito, also a daughter of the Japanese Amabassador, and Barbara Caldwell, American playmate of the two youngsters, 4/8/1937"
1524,Harris & Ewing,Photographer,1939,Cherry-Blossoms,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"Cameramen tree Cherry Blossom Queen. Washington, D.C., March 28. Peggy Townsend, pretty Washington Miss who will be crowned Queen of the Cherry Blossoms at appropriate ceremonies on Friday, was t'treed"" by the photographers as she arrived to get a preview of the beautiful blooms in Potomac Park today. 3- 28-39"
1525,"Bubley, Esther",Photographer,1943,Cherry-Blossoms,Nitrate negatives,,Still image,Farm Security Administration - Office of War Information photograph collection (Library of Congress),English,1 negative : nitrate ; 2 1/4 x 2 1/4 inches or smaller.,"Photo, print, drawing",prints and photographs division | lot 691 | american memory | farm security administration/office of war information black-and-white negatives | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | nitrate negatives | washington (d.c.),United States--District of Columbia--Washington (D.C.),"Washington, D.C. Taking pictures of the cherry blossoms"
1526,Harris & Ewing,Photographer,1932,Cherry-Blossoms,Glass negatives,,Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",district of columbia | united states | washington (d.c.) | glass negatives,United States--District of Columbia--Washington (D.C.),"[Japanese strollers at cherry blossoms, Washington, D.C.]"
1605,Schutz Group Photographers,Photographer,1915,Veterans,Panoramic photographs--1910-1920 | Photographic prints--1910-1920 | Group portraits--1910-1920 | Portrait photographs--1910-1920,,Still image,Liljenquist Family collection (Library of Congress),English,1 photograph : gelatin silver print ; sheet 140 x 21 cm.,"Photo, print, drawing",prints and photographs division | liljenquist family collection of civil war photographs | catalog | civil war,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | history | union | portrait photographs | army | musicians | group portraits | veterans | united states | grand army of the republic | panoramic photographs | people | photographic prints | civil war,"Grand Army of the Republic--People--1910-1920 | United States--History--Civil War, 1861-1865--Veterans--Union | Musicians--Washington (D.C.)--1910-1920 | United States.--Army--People--1910-1920 | Veterans--Union--Washington (D.C.)--1910-1920","National Association of Civil War Musicians in the Grand Army review, Washington, D.C., 1915 / Photo by Schutz, 613 14th St., Wash., D.C."
1608,Harris & Ewing,Photographer,1938,Veterans,Glass negatives,"Photograph shows Civil War verterans William H. Jackson and Robert W. Wilson in the passenger cabin of a Boeing 247D airliner, belonging to Pennsylvania Central Airlines (PCA) flying over the Gettysburg battlefield. (Source: Flickr Commons project, 2018 and  neighboring Harris & Ewing image)",Still image,Harris & Ewing photograph collection,English,1 negative : glass ; 4 x 5 in. or smaller,"Photo, print, drawing",prints and photographs division | prints & photographs online catalog (library of congress) | catalog | harris & ewing collection,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",washington (d.c.) | history | veterans | united states | district of columbia | glass negatives | civil war,"United States--History--Civil War, 1861-1865--Veterans | United States--District of Columbia--Washington (D.C.)","Heroes of battle of Gettysburg paid tribute by surviving brothers-in-arms. Washington, D.C., May 30, Although there are only a few of the boys in blue and gray left, two of them were strong enough today, Memorial Day, to drop flowers from the air on the Gettysburg battlefield to honor their comrades who lost their lives in this historic battle of the Civil War. Here we see, left to right: William H. Jackson, 95, of Washington, D.C., 5/30/38"
1623,Underwood & Underwood,Photographer,1932,Veterans,Photographic prints--1930-1940,"Photograph shows World War I reclining on the U.S. Capitol lawn to demand immediate payment of their bonuses, which were not redeemable until 1945.",Still image,,English,1 photograph : gelatin silver print ; sheet 26 x 21 cm (8 x 10 format),"Photo, print, drawing",prints and photographs division | catalog | lot 3739,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print","washington (d.c.) | united states capitol (washington, d.c.) | veterans | buildings | world war | american | bonus expeditionary forces | people | photographic prints","World War, 1914-1918--Veterans--American | Bonus Expeditionary Forces--People--Washington (D.C.)--1930-1940 | United States Capitol (Washington, D.C.)--Buildings--1930-1940 | Veterans--American--Washington (D.C.)--1930-1940","Western Bonus Army lays siege to Capitol, spend night on plaza lawns / Photo by Underwood & Underwood."
