Call_number,Contributors,Date_text,Date,Digitized,Set,Genre,Id,IIIF_manifest,Preview_url,Index,Type_of_resource,MODS Record,MARC Record,Dublin Core Record,MARCXML Record,Rights,Source_collection,Language,Lccn,Medium,Mime_type,Notes,Online_format,Original_format,Part_of,Repository,Number_of_files,Shelf_id,Subjects,Last_updated_in_api,Title,Url,Creators_names,Creators_roles,Location_text,Subject_headings,Location_Short_name,Location_Full_name,Location_Osm_url,Location_Latitude,Location_Longitude,Location_County,Location_State_district,Location_State,Location_Country,Description,Other_title,METSXML Record
LOT 7756 [item] [P&P],"Centennial Photographic Co., photographer, copyright claimant.",c1876.,1876,True,Lighthouses,,http://www.loc.gov/item/2005677910/,http://www.loc.gov/item/2005677910/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ppmsca/09000/09090r.jpg#h=399&w=640 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/09000/09090v.jpg#h=638&w=1024 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/09000/09090t.gif#h=94&w=150 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/09000/09090_150px.jpg,1,Still image,https://lccn.loc.gov/2005677910/mods,https://www.loc.gov/pictures/item/2005677910/marc/,https://lccn.loc.gov/2005677910/dc,https://lccn.loc.gov/2005677910/marcxml,"No known restrictions on publication. | <p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/493_ster.html"">Stereographs - Rights and Restrictions Information</a> </p>   ",,English,2005677910,1 photographic print on stereo card : stereograph.,image/jpg | image/gif | image/jpeg | image/tif,"Title from item. | U.S. Govt: B. | Stereo copyrighted by The Centennial Photographic Co., Phila., Pa. | 4529H U.S. Copyright Office.",Image,"Photo, print, drawing",prints and photographs division | catalog | lot 7756 | stereograph cards,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",2.0,LOT 7756 [item] [P&P],stereographs | lighthouses | buoys | centennial celebrations | photographic prints | philadelphia | pennsylvania,2021-09-04T14:02:26.193Z,"Light house and buoys / Centennial Photographic Co., Philad'a.",https://www.loc.gov/item/2005677910/,Centennial Photographic Co. | Centennial Photographic Co.,photographer | copyright claimant,Pennsylvania | Pennsylvania--Philadelphia | Philadelphia,Buoys--1870-1880 | Centennial celebrations--Pennsylvania--Philadelphia--1870-1880 | Lighthouses--Pennsylvania--Philadelphia--1870-1880,Pennsylvania | Philadelphia,"Pennsylvania, United States | Philadelphia, Philadelphia County, Pennsylvania, United States",https://www.openstreetmap.org/relation/162109 | https://www.openstreetmap.org/relation/188022,40.9699889 | 39.9527237,-77.7278831 | -75.1635262,Unknown | Philadelphia County,Unknown | Unknown,Pennsylvania | Pennsylvania,United States | United States,"Stereograph shows display of a light house and buoys at the 1876 International Exhibition, Philadelphia.",,
LC-HS503- 6565 (ONLINE) [P&P],"Highsmith, Carol M., 1946- photographer.",[between 1980 and 2006],1980,True,Skyscrapers,,http://www.loc.gov/item/2011636263/,http://www.loc.gov/item/2011636263/manifest.json,https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18000:18069/full/pct:6.25/0/default.jpg#h=376&w=295 | https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18000:18069/full/pct:12.5/0/default.jpg#h=752&w=590 | https://tile.loc.gov/storage-services/service/pnp/highsm/18000/18069_150px.jpg | https://tile.loc.gov/image-services/iiif/service:pnp:highsm:18000:18069/full/pct:25/0/default.jpg#h=1505&w=1181,1,Still image,https://lccn.loc.gov/2011636263/mods,https://www.loc.gov/pictures/item/2011636263/marc/,https://lccn.loc.gov/2011636263/dc,https://lccn.loc.gov/2011636263/marcxml,"<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/482_high.html"">Carol M. Highsmith - Rights and Restrictions Information</a> </p>    | No known restrictions on publication.","Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",English,2011636263,1 transparency : color ; 4 x 5 in. or smaller.,image/jpg | image/gif | image/jpeg | image/tif,"Digital image produced by Carol M. Highsmith to represent her original film transparency; some details may differ between the film and the digital images. | Title, date, and keywords provided by the photographer. | Gift and purchase; Carol M. Highsmith; 2011; (DLC/PP-2011:124). | Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division. | Forms part of the Selects Series in the Carol M. Highsmith Archive.",Image,"Photo, print, drawing",prints and photographs division | highsmith (carol m.) archive | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-HS503- 6565 (ONLINE) [P&P],willis tower | transparencies | illinois | city skylines | america | united states | sears tower | color | chicago,2021-09-04T13:37:20.526Z,"Skyline at dusk, dominated by Willis Tower, long known as Sears Tower, Chicago, Illinois",https://www.loc.gov/item/2011636263/,"Highsmith, Carol M., 1946-",photographer,United States--Illinois--Chicago | Illinois | Chicago | United States | Illinois--Chicago,United States--Illinois--Chicago | Sears Tower | City skylines | America | Willis Tower,Chicago | United States | Illinois,"Chicago, Cook County, Illinois, United States | United States | Illinois, United States",https://www.openstreetmap.org/relation/122604 | https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/122586,41.8755616 | 39.7837304 | 40.0796606,-87.6244212 | -100.445882 | -89.4337288,Cook County | Unknown | Unknown,Unknown | Unknown | Unknown,Illinois | Unknown | Illinois,United States | United States | United States,,,
LC-MA05- 1492 [P&P],"Margolies, John, photographer.",1995.,1995,True,John-Margolies-Roadside-America-Photograph-Archive,Slides--1990-2000.--Color,http://www.loc.gov/item/2017703606/,http://www.loc.gov/item/2017703606/manifest.json,https://tile.loc.gov/storage-services/service/pnp/mrg/01400/01492v.jpg#h=698&w=1024 | https://tile.loc.gov/storage-services/service/pnp/mrg/01400/01492_150px.jpg#h=102&w=150 | https://tile.loc.gov/storage-services/service/pnp/mrg/01400/01492r.jpg#h=436&w=640,1,Still image,https://lccn.loc.gov/2017703606/mods,https://www.loc.gov/pictures/item/2017703606/marc/,https://lccn.loc.gov/2017703606/dc,https://lccn.loc.gov/2017703606/marcxml,"No known restrictions on publication. For more information, see ""John Margolies Roadside America Photograph Archive - Rights and Restrictions Information"" https://www.loc.gov/rr/print/res/723_marg.html","Margolies, John John Margolies Roadside America photograph archive",English,2017703606,1 photograph : color transparency ; 35 mm (slide format).,image/jpg | image/gif | image/tif,"Credit line: John Margolies Roadside America photograph archive (1972-2008), Library of Congress, Prints and Photographs Division. | Forms part of: John Margolies Roadside America photograph archive (1972-2008). | Title, date and keywords based on information provided by the photographer. | Purchase; John Margolies 2008 (DLC/PP-2008:109-3). | General information about the John Margolies Roadside America photograph archive is available at http://hdl.loc.gov/loc.pnp/pp.mrg | Margolies categories: Eating and drinking establishment signs.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",1.0,LC-MA05- 1492 [P&P],slides | watertown | united states | signs (notices) | new york (state) | color | diners (restaurants),2021-06-26T13:14:45.305Z,"Julie's Victory Diner sign, State Street, Watertown, New York",https://www.loc.gov/item/2017703606/,"Margolies, John",photographer,New York (State)--Watertown | New York | New York (State) | Watertown | United States,Diners (Restaurants)--1990-2000 | Signs (Notices)--1990-2000 | United States--New York (State)--Watertown,New York | New York | United States | Watertown | City of Watertown,"New York, United States | New York, United States | United States | Watertown, Middlesex County, Massachusetts, United States | City of Watertown, Town of Watertown, Jefferson County, New York, 13601, United States",https://www.openstreetmap.org/relation/175905 | https://www.openstreetmap.org/relation/61320 | https://www.openstreetmap.org/relation/148838 | https://www.openstreetmap.org/relation/1933719 | https://www.openstreetmap.org/relation/175993,40.7127281 | 43.1561681 | 39.7837304 | 42.3652226 | 43.9747838,-74.0060152 | -75.8449946 | -100.445882 | -71.1843771 | -75.9107565,Unknown | Unknown | Unknown | Middlesex County | Jefferson County,Unknown | Unknown | Unknown | Unknown | Unknown,New York | New York | Unknown | Massachusetts | New York,United States | United States | United States | United States | United States,,,
"PRES FILE - Lincoln, Abraham--Portraits--Meserve no. 100 [item] [P&P]","Gardner, Alexander, 1821-1882, photographer.","[1930s?, from photo taken on Feb. 5, 1865 ]",1930,True,Abraham-Lincoln,,http://www.loc.gov/item/2009630692/,http://www.loc.gov/item/2009630692/manifest.json,https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a52000/3a52000/3a52094t.gif#h=150&w=122 | https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a52000/3a52000/3a52094r.jpg#h=640&w=521 | https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a52000/3a52000/3a52094_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/cph/3a50000/3a52000/3a52000/3a52094_150px.jpg#h=150&w=122,1,Still image,https://lccn.loc.gov/2009630692/mods,https://www.loc.gov/pictures/item/2009630692/marc/,https://lccn.loc.gov/2009630692/dc,https://lccn.loc.gov/2009630692/marcxml,No known restrictions on publication.,,English,2009630692,1 photographic print  : gelatin silver ; 8 x 10 in.,image/jpg | image/gif | image/jpeg | image/tif,"Ostendorf, no. 118 | Meserve, no. 100 | Published in: The Photographs of Abraham Lincoln / Frederick Hill Meserve and Carl Sandburg. New York : Harcourt, Brace and Company, 1944, pl. 100. | Original: albumen silver photographic print in the National Portrait Gallery, Washington, D.C., item number NPG.81.M1, dimensions 45 x 38.6cm (17 11/16 x 15 3/16""), from a negative dated Feb. 5, 1865. | Illus. in: The Photographs of Abraham Lincoln / Frederick Hill Meserve. New York: Privately printed, 1911. | Published in: Lincoln's photographs: a complete album / by Lloyd Ostendorf. Dayton, OH: Rockywood Press, 1998, p. 231. | Published in: The Face of Lincoln / compiled and edited by James Mellon. New York : Viking Press, 1979, p. 186-187. | Copy of photo by Alexander Gardner taken at Gardner's Gallery in Washington, DC, on Sunday, February 5, 1865. This last photo in Lincoln's last photo session from life was long thought to have been made on April 10, 1865, but more recent research has indicated the earlier date in February. Image shows crack in original negative, which was broken and discarded back in 1865. The original surviving print is at the National Portrait Gallery. | In pencil on back of print: ""For Harry [...] Bland, with regards, F. Meserve, Apr. 20, 1938. | Gift, Joseph Verner Reed, 1955.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",1.0,"PRES FILE - Lincoln, Abraham--Portraits--Meserve no. 100 [item] [P&P]","gelatin silver prints | lincoln, abraham | portrait photographs",2021-08-28T13:24:16.203Z,"[Abraham Lincoln, head-and-shoulders portrait, traditionally called ""last photograph of Lincoln from life""]",https://www.loc.gov/item/2009630692/,"Gardner, Alexander, 1821-1882",photographer,,"Lincoln, Abraham,--1809-1865",,,,,,,,,,,,
"POS - WPA - NY .D88, no. 1 (C size) [P&P]","Dux, Alexander, artist.",[between 1936 and 1939],1936,True,Wpa-Posters,,http://www.loc.gov/item/96503125/,http://www.loc.gov/item/96503125/manifest.json,https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243_150px.jpg#h=150&w=121 | https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243r.jpg#h=640&w=518 | https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243t.gif#h=150&w=121 | https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243v.jpg#h=1024&w=829 | https://tile.loc.gov/storage-services/service/pnp/cph/3g00000/3g04000/3g04200/3g04243_150px.jpg,1,Still image,https://lccn.loc.gov/96503125/mods,//www.loc.gov/pictures/item/96503125/marc/,https://lccn.loc.gov/96503125/dc,https://lccn.loc.gov/96503125/marcxml,"<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/217_wpa.html"">Work Projects Administration Posters - Rights and Restrictions Information</a> </p>    | No known restrictions on publication.",,English,96503125,"1 print on board (poster) : silkscreen, color.",image/jpg | image/gif | image/jpeg | image/tif,"Work Projects Administration Poster Collection (Library of Congress). | Date stamped on verso: Jun 28 1939. | Posters of the WPA / Christopher DeNoon. Los Angeles : Wheatly Press, c1987, no. 136 | More information about the WPA Posters is available at http://hdl.loc.gov/loc.pnp/pp.wpapos",Image,"Photo, print, drawing","prints and photographs division | prints & photographs online catalog (library of congress) | american memory | catalog | by the people, for the people: posters from the wpa, 1936-1943 | posters: wpa posters","Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",2.0,"POS - WPA - NY .D88, no. 1 (C size) [P&P]",caves | screen prints | posters | color | tourism,2022-08-26T17:22:35.317Z,See America / Dux.,https://www.loc.gov/item/96503125/,"Dux, Alexander",artist,,Caves--1930-1940 | Tourism--1930-1940,,,,,,,,,,"Poster for the United States Travel Bureau promoting tourism, showing two people in caverns.",,
LC-GB05-  1852 [P&P],"Gotfryd, Bernard, photographer.",between 1972 and 1978.,1972,True,Disability-Awareness,Slides--Color--1970-1980,http://www.loc.gov/item/2020731393/,http://www.loc.gov/item/2020731393/manifest.json,https://tile.loc.gov/storage-services/service/pnp/gtfy/01800/01852_150px.jpg#h=150&w=101 | https://tile.loc.gov/storage-services/service/pnp/gtfy/01800/01852v.jpg#h=1024&w=692 | https://tile.loc.gov/storage-services/service/pnp/gtfy/01800/01852r.jpg#h=640&w=433,1,Still image,https://lccn.loc.gov/2020731393/mods,https://www.loc.gov/pictures/item/2020731393/marc/,https://lccn.loc.gov/2020731393/dc,https://lccn.loc.gov/2020731393/marcxml,"No known restrictions on publication. For information see ""Bernard Gotfryd,""  https://hdl.loc.gov/loc.pnp/res.592.gotf",Bernard Gotfryd photograph collection (Library of Congress),English,2020731393,1 photograph : color transparency ; 35mm (slide format),image/jpg | image/gif | image/tif,"Date on slide mount: 1972-78. | Photo agency: Woodfin Camp & Assoc., 116 E. 27th St., 8 FL, New York. | Title from slide mount or other caption information provided by the photographer. | On mount: 71059904. | Gotfryd set no.:  J-037-001-AP. | Gift; Bernard Gotfryd; 2004; (DLC/PP-2004:032).",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",1.0,LC-GB05-  1852 [P&P],slides | personalities | united states | politicians | color,2021-08-14T14:34:10.202Z,"Barbara Jordan, Congresswoman, 1972-78",https://www.loc.gov/item/2020731393/,"Gotfryd, Bernard",photographer,United States,Politicians | Personalities | United States,United States,United States,https://www.openstreetmap.org/relation/148838,39.7837304,-100.445882,Unknown,Unknown,Unknown,United States,,,
G3804.E7A3 1873 .B3,"Strobridge & Co. Lith. | Bailey, H. H. (Howard Heston), 1836-1878.",,1873,True,Maps-Of-Cities,,http://www.loc.gov/item/99447822/,http://www.loc.gov/item/99447822/manifest.json,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804e/pm005587.gif#h=150&w=195 | https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804e/pm005587.gif | https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804e:pm005587/full/pct:12.5/0/default.jpg#h=852&w=1108 | https://tile.loc.gov/image-services/iiif/service:gmd:gmd380:g3804:g3804e:pm005587/full/pct:25/0/default.jpg#h=1704&w=2217,1,Cartographic,https://lccn.loc.gov/99447822/mods,,https://lccn.loc.gov/99447822/dc,https://lccn.loc.gov/99447822/marcxml,"<p>The maps in the Map Collections materials were either published prior to  1922, produced by the United States government, or both (see catalogue  records that accompany each map for information regarding date of  publication and source). The Library of Congress is providing access to  these materials for educational and research purposes and is not aware of  any U.S. copyright protection (see Title 17 of the United States Code) or any  other restrictions in the Map Collection materials. </p> <p>Note that the written permission of the copyright owners and/or other rights  holders (such as publicity and/or privacy rights) is required for distribution,  reproduction, or other use of protected items beyond that allowed by fair use  or other statutory exemptions.  Responsibility for making an independent  legal assessment of an item and securing any necessary permissions  ultimately rests with persons desiring to use the item. </p> <p>Credit Line: Library of Congress, Geography and Map Division. </p>",,English,99447822,1 view : col. ; 51 x 73 cm.,image/tiff | image/gif | image/jpeg | image/jp2,"Bird's-eye view. | LC copy torn, soiled, missing edge sections, mounted on paper backing. | Acquisitions control no. 99-48 | Available also through the Library of Congress Web site as a raster image. | PM3 | Indexed for points of interest. | Oriented with north toward the upper right.",Image,Map,cities and towns | geography and map division | panoramic maps | american memory | catalog,"Library of Congress Geography and Map Division Washington, D.C. 20540-4650 USA dcu",1.0,G3804.E7A3 1873 .B3,elmira | united states | new york (state) | elmira (n.y.) | aerial views,2021-11-18T16:20:45.608Z,"Elmira, N.Y. : 1873",https://www.loc.gov/item/99447822/,,,Elmira | New York (State) | New York | Elmira (N.Y.) | United States,United States--New York (State)--Elmira | Elmira (N.Y.)--Aerial views,New York | City of Elmira | New York | United States,"New York, United States | City of Elmira, Chemung County, New York, United States | New York, United States | United States",https://www.openstreetmap.org/relation/175905 | https://www.openstreetmap.org/relation/174948 | https://www.openstreetmap.org/relation/61320 | https://www.openstreetmap.org/relation/148838,40.7127281 | 42.0897965 | 43.1561681 | 39.7837304,-74.0060152 | -76.8077338 | -75.8449946 | -100.445882,Unknown | Chemung County | Unknown | Unknown,Unknown | Unknown | Unknown | Unknown,New York | New York | New York | Unknown,United States | United States | United States | United States,,,
U.S. GEOG FILE - New York--New York City <item> [P&P],"Fairchild Aerial Surveys, inc.",c1928 May 22.,1928,True,Skyscrapers,Photographic prints--1920-1930 | Aerial photographs--1920-1930,http://www.loc.gov/item/96518598/,http://www.loc.gov/item/96518598/manifest.json,https://tile.loc.gov/storage-services/service/pnp/ppmsca/41900/41913r.jpg#h=510&w=640 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/41900/41913v.jpg#h=816&w=1024 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/41900/41913_150px.jpg#h=120&w=150 | https://tile.loc.gov/storage-services/service/pnp/ppmsca/41900/41913_150px.jpg,1,Still image,https://lccn.loc.gov/96518598/mods,https://www.loc.gov/pictures/item/96518598/marc/,https://lccn.loc.gov/96518598/dc,https://lccn.loc.gov/96518598/marcxml,No known restrictions on publication.,,English,96518598,1 photographic print.,image/jpg | image/gif | image/jpeg | image/tif,"J297719 U.S. Copyright Office. | Aerial photograph by Fairchild Aerial Surveys Inc., N.Y.C.",Image,"Photo, print, drawing",prints and photographs division | catalog,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",2.0,U.S. GEOG FILE - New York--New York City <item> [P&P],"new york | clouds | woolworth building (new york, n.y.) | new york (state) | skyscrapers | photographic prints | aerial photographs",2021-08-28T14:06:57.714Z,"Woolworth tower in clouds, New York City",https://www.loc.gov/item/96518598/,"Fairchild Aerial Surveys, inc.",Unknown,New York | New York (State)--New York,"Clouds--1920-1930 | Skyscrapers--New York (State)--New York--1920-1930 | Woolworth Building (New York, N.Y.)--1920-1930",New York,"New York, United States",https://www.openstreetmap.org/relation/175905,40.7127281,-74.0060152,Unknown,Unknown,New York,United States,Woolworth Building.,,
LOT 12362 <item> [P&P],"Hartsook, photographer.",[1919(?)],1919,True,Irish-Americans,,http://www.loc.gov/item/94506959/,http://www.loc.gov/item/94506959/manifest.json,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c11000/3c11200/3c11278t.gif#h=150&w=119 | https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c11000/3c11200/3c11278v.jpg#h=1024&w=815 | https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c11000/3c11200/3c11278r.jpg#h=640&w=509 | https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c11000/3c11200/3c11278_150px.jpg | https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c11000/3c11200/3c11278_150px.jpg#h=150&w=119,1,Still image,https://lccn.loc.gov/94506959/mods,//www.loc.gov/pictures/item/94506959/marc/,https://lccn.loc.gov/94506959/dc,https://lccn.loc.gov/94506959/marcxml,"<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/275_npco.html"">National Photo Company Collection - Rights and Restrictions Information</a> </p>    | No known restrictions on publication.",,English,94506959,1 photographic print.,image/jpg | image/gif | image/jpeg | image/tif,"National Photo Company Collection. | Copyright by Keystone View Co., Inc., of N.Y.",Image,"Photo, print, drawing",national photo company collection | prints and photographs division | catalog | lot 12362,,1.0,LOT 12362 <item> [P&P],"photographic prints | ford, henry | portrait photographs",2021-09-04T14:40:04.102Z,"[Henry Ford, head-and-shoulders portrait, facing slightly left] / Hartsook photo.",https://www.loc.gov/item/94506959/,Hartsook,photographer,,"Ford, Henry,--1863-1947",,,,,,,,,,,,
HABS PA-6762,Unknown,Documentation compiled after 1933,Documentation compiled after 1933,True,Books-Maps-More,,http://www.loc.gov/item/pa4080/,http://www.loc.gov/item/pa4080/manifest.json,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa4000/pa4080/photos/573978pr.jpg#h=514&w=640 | https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa4000/pa4080/photos/573978pv.jpg#h=823&w=1024 | https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa4000/pa4080/photos/573978p_150px.jpg#h=121&w=150,7,Unspecified,,,,,"<p>The Library of Congress does not&nbsp;own rights to material  in its collections. Therefore, it does not license or charge permission fees  for use of such material and cannot grant or deny permission to publish or  otherwise distribute the material. </p> <p>Ultimately, it is the researcher's obligation to assess copyright or other use restrictions and  obtain permission from third parties when necessary before publishing or  otherwise distributing materials found in the Library's collections. </p> <p>For information about reproducing,  publishing, and citing material from this collection, as well as access to the  original items, see: <a href=""//www.loc.gov/rr/print/res/114_habs.html"">Historic American Buildings Survey/Historic American Engineering Record/Historic American Landscape Survey (HABS/HAER/HALS) Collection - Rights and Restrictions Information</a> </p>    | No known restrictions on images made by the U.S. Government; images     copied from other sources may be restricted.    https://www.loc.gov/rr/print/res/114_habs.html",Historic American Buildings Survey (Library of Congress),English,,Data Page(s): 15  | Photo(s): 7  | Photo Caption Page(s): 1 ,image/gif | application/pdf,"Significance: When the cornerstone of the Passyunk Branch of the Free Library of Philadelphia was laid in 1913, it was one of seven branches concurrently under construction through an endowment from industrialist-turned-philanthropist Andrew Carnegie. The impact of Carnegie's grant program on the development of public libraries cannot be overstated.  He came of age in an era when libraries were rare, privately funded institutions and access was through subscription. Believing in the power of libraries to create an egalitarian society that favored hard work over social privilege by allowing for equal access to knowledge, between 1886 and 1917 he provided forty million dollars for the construction of 1,679 libraries throughout the nation.  The vast resources that he allotted to library research and construction contributed significantly to the development of the American Library as a building type.  In addition, by insisting that municipalities supply a building site, books, and annual maintenance funds before bestowing grants Carnegie elevated libraries from the arena of private philanthropy to that of civic responsibility.  Philadelphia was the recipient of one of the largest Carnegie grants for library construction.  Although the city was among the first to establish a free library system, it had no purpose-built structures prior to the Carnegie endowment.  Under the direction of the city's appointed Carnegie Fund Committee, the branch libraries were built between 1905 and 1930 and designed by a ""who's-who"" of Philadelphia's architects.  The twenty extant branch libraries remain as a remarkable intact and cohesive grouping, rivaled only by that of New York City, with fifty-seven. Passyunk Branch was designed by well-known architect John T. Windrim, who went on to design two more branch library buildings and to serve on the Library Board.  It is among the smaller and less elaborate of the libraries, yet it is a classic example of the somewhat staid Beaux Arts form that came to define Carnegie branch libraries.  It follows the usual plan to consist of a rectangular main block with a rear ell to create a T-shaped configuration.  The lot on which the Passyunk Branch sits was provided to the city of Philadelphia by the estate of national renowned Philadelphia merchant, banker, and philanthropist, Stephan Girard.  Girard established a working farm here on what was then the countryside.  His former residence stills occupies a plot of land a short distance from the library that serves as a city park.  | Survey number: HABS PA-6762  | Building/structure dates: 1914 Initial Construction ",Pdf | Image,"Photo, print, drawing",prints and photographs division | american memory | historic american buildings survey/historic american engineering record/historic american landscapes survey,"Library of Congress Prints and Photographs Division Washington,      D.C. 20540 USA http://hdl.loc.gov/loc.pnp/pp.print",9.0,HABS PA-6762,libraries,2018-12-15T01:47:22.003Z,"Free Library of Philadelphia, Passyunk Branch, 1935 Shunk Street, Philadelphia, Philadelphia County, PA",https://www.loc.gov/item/pa4080/,"Windrim, John Torrey | Historic American Buildings Survey | Preservation Alliance of Greater Philadelphia | Carnegie, Andrew",architect | creator | sponsor | Unknown,Pennsylvania | Philadelphia County | Pennsylvania -- Philadelphia County -- Philadelphia | Philadelphia,Pennsylvania -- Philadelphia County -- Philadelphia | libraries,Philadelphia County | Pennsylvania | Philadelphia,"Philadelphia County, Pennsylvania, United States | Pennsylvania, United States | Philadelphia, Philadelphia County, Pennsylvania, United States",https://www.openstreetmap.org/relation/417845 | https://www.openstreetmap.org/relation/162109 | https://www.openstreetmap.org/relation/188022,40.0114538 | 40.9699889 | 39.9527237,-75.1326504 | -77.7278831 | -75.1635262,Philadelphia County | Unknown | Philadelphia County,Unknown | Unknown | Unknown,Pennsylvania | Pennsylvania | Pennsylvania,United States | United States | United States,,"Free Library of Philadelphia, Thomas F. Donatucci Sr. Branch",
